位号,参数,封装,数量,建议型号,LCSC 编号,关键规格,模块,备注,统一数量,来源
R10,MOS 栅极下拉电阻,0805,3,电阻 10kohm,待查,保证 OE/停振时 MOS 可靠截止(docs/05 §2.5 要求2),mcu-ui-module,数量按 3 只 BS170 计,3,docs/05 §2.5
R_VBAT1,22 kohm,0805,1,电阻 22kohm 1%,待查,VBAT 分压上臂; 备选 24kohm(比值0.294),mcu-ui-module,8.4V->2.46V; 6.0V->1.76V,1,docs/05 §2.7
R_VBAT2,9.1 kohm,0805,1,电阻 9.1kohm 1%,待查,VBAT 分压下臂; 备选 10kohm,mcu-ui-module,源阻抗 R3+(22k//9.1k)=7.4kohm < 10kohm 满足 ADC 要求,1,docs/05 §2.7
R_VBAT3,1 kohm,0805,1,电阻 1kohm,待查,ADC 串联限流/隔离电阻(GPIO3),mcu-ui-module,静态电流 270uA,1,docs/05 §2.7
C_VBAT,0.1 uF,0805,1,X7R 100nF 50V,待查,"VBAT 分压滤波, fc 约 245Hz",mcu-ui-module,,1,docs/05 §2.7
R12,10 kohm,0805,1,电阻 10kohm,待查,GPIO12 -> 升压模块 FB 下拉(上电安全硬件兜底),mcu-ui-module,📌 建议采纳未定(docs/05 §7 #7a); 采纳才计入 BOM(E-03),0-1,"docs/05 §2.10.3, §7 #7a; docs/17 §12.6.5"
X1,32.768 kHz 晶振,DNP 焊盘,0-1,32.768kHz 晶振,待查,Mesh 时钟可选升级 DNP; 当前依靠 ESP-NOW 每5分钟重同步,mcu-ui-module,DNP 不贴,0-1,hardware/mcu-ui-module/README.md §3; docs/04 §3
R_ADC,检波负载/分压电阻,0805,待定,待定,待查,前向/反向检波 ADC 满量程由耦合器与 R_sense 决定; ADC 读数应落量程 20%-80%,mcu-ui-module,P4 R_sense 微调后再定值,待定,docs/05 §3.2
TP1-TP8,测试点,焊盘,8,测试点焊盘,待查,建议: 3.3V/5V/12V/ADC_FWD/ADC_REV/GND/I2C_SDA/I2C_SCL,mcu-ui-module,便于打样后调试,8,推导
U9,同步降压 DC-DC,SOT-23-8/SOIC-8,1,MP2315,待查,"5V 主轨; 峰值效率高; 替代原 7805 LDO(原效率约68%, 发热严重)",power-module,满载30分钟温升需实测,1,hardware/power-module/README.md §3; docs/04 §3
U10,LDO 线性稳压器,SOT-23-5/89,1,MD7673E50VC1,待查,"3.3V 射频轨(低噪声, 供 Si5351); 需与数字轨分轨 + pi 型滤波",power-module,型号写法以模块README为准(MD7673),1,hardware/power-module/README.md §3; docs/04 §3
U11,升压 DC-DC 模块,成品模块,1,3.7V->12V 升压模块 (PWM 可调),待查,12V 功放轨; PWM 可调输出; 输出 12-13.8V; 纹波峰峰值 <0.5V @2.5W,power-module,🔴 型号与 FB 网络参数未定(docs/05 §7 #7 待冻结); 电池为2S(7.4V)而模块标称3.7V输入需核对(E-02),1,"docs/05 §3.3, §7 #7; hardware/power-module/README.md §3"
U12,自恢复保险丝/保护,贴片,1,待定,待查,电池保护/充电接口; 具体方案未定,power-module,P8 相关: 电池保护与充电接口方案待设计,1,hardware/power-module/README.md §3; docs/04 §3
BT1,2S 锂聚合物电池,2S 500mAh,1,2S 500mAh 7.4V 锂电,待查,续航: 连续发射@2.5W 约38分钟; 竞赛静默释放继电器约100分钟; 待机约150分钟,power-module,需配套电池座 + 保护/充电接口,1,hardware/power-module/README.md §3; docs/04 §3
BH1,电池座,2S 电池座,1,2S 电池座,待查,适配所选2S 500mAh电池,power-module,,1,hardware/power-module/README.md §3; docs/04 §3
C11-C13,输入/输出电容套件,电解 + 钽 + 陶瓷,1 套,电解+钽+陶瓷 套件,待查,DC-DC 输入/输出电容; 含 100nF X7R 用于 pi 型 RC 滤波(3.3V 数字轨与本振独立滤波),power-module,容值与耐压待 DC-DC 选型确定,1 套,hardware/power-module/README.md §3; docs/04 §3
FB1,π 型 RC 滤波元件组,0805/磁珠,1 套,pi 型 RC 滤波 (待定),待查,3.3V 数字轨独立 pi 型 RC 滤波; 含 100nF X7R,power-module,"🟠 模块README 写 RC, README 目录树/总表亦写 π 型 RC —— RC 通常靠电阻压降, 需确认是否有意为之(E-04)",1 套,docs/04 §3.6; hardware/power-module/README.md §3
C_3V3RF,0.1 uF / 10 uF,0805,2,X7R 100nF + 10uF,待查,3.3V 射频轨去耦(Si5351 就近),power-module,需实测噪声对本振相噪的影响,2,hardware/power-module/README.md §3; docs/04 §3
J1-J6,模块插座,2.54mm 排母,6 组,2.54mm 排母,待查,6 组模块插座(pa/lpf/atu/power/mcu-ui 等); 承载 GPIO/PWM/SWR/电源轨,core-board,建议用圆孔排母提升插拔寿命,6 组,hardware/core-board/README.md §3; docs/04 §3
J7-J9,射频连接器,SMA 母座(PCB 焊接),3,SMA 母座 50ohm,待查,底板侧射频互联 50ohm; 配合 SMA 公-公短线使用,core-board,"底板 3 个, 模块侧共 6 个(ATU 模块自带)",3,hardware/core-board/README.md §3; docs/04 §3
J10,天线座,SMA 母座(面板),1,SMA 母座,待查,ATU 输出 -> 天线座,core-board,天线座也计入 interconnect 清单,1,hardware/core-board/README.md §3; docs/04 §3
C14-C20,高频去耦电容组,0805,多只,X7R 100nF 套件,待查,每个模块插座旁就近布置,core-board,"数量按插座数 x 2 估算, 布线时定",多只,hardware/core-board/README.md §3; docs/04 §3
X1,32.768 kHz 晶振 DNP 焊盘,DNP,1,32.768kHz 晶振焊盘,待查,Mesh 时钟可选升级; DNP 不贴,core-board,仅焊盘,0-1,hardware/core-board/README.md §3; docs/04 §3
-,PCB 四层板,130x95mm 四层,1,四层板 (1.6mm),待查,射频链路 50ohm; 电源平面分离: 12V/5V/3.3V射频/3.3V数字; 数字地与射频地单点汇接,core-board,"🟠 叠层(层序/厚度/阻抗)未定义, 下单前需补(E-05)",1,hardware/core-board/README.md §3; docs/04 §3
J11-J16,模块侧 SMA 母座,SMA 母座,6,SMA 母座 50ohm,待查,射频链路: Si5351->PA->LPF->ATU->ANT; 各环节 50ohm,interconnect,PA/LPF/ATU 模块各 2 个(输入+输出); 与底板 3 个合计 9 个,6,hardware/interconnect/README.md §3; docs/04 §3
W1-W3,SMA 公-公短线,SMA 跳线,3,SMA 公-公短线,待查,"50ohm 屏蔽线, 长度尽量短; PA->LPF, LPF->ATU 等",interconnect,BOM 计 3 根,3,hardware/interconnect/README.md §3; docs/04 §3
J17-J22,模块排针,2.54mm 排针,6 组,2.54mm 排针,待查,与底板 J1-J6 排母配对; 传递 GPIO/PWM/SWR/12V/5V/3V3/GND,interconnect,逐脚定义待 interconnect/connector/ 补充(目录现为空),6 组,hardware/interconnect/README.md §3; docs/04 §3
J23,电池座/电池接口,2S 电池座,1,2S 电池座,待查,与电源模块电池连接,interconnect,与 power-module BT1 配套,1,hardware/interconnect/README.md §3; docs/04 §3
J24,天线座,SMA 母座,1,SMA 母座,待查,ATU 输出至天线,interconnect,"与 core-board J10 为同一件, 汇总时避免重复计数",1,hardware/interconnect/README.md §3; docs/04 §3
-,线束材料,多股软铜线/杜邦线/热缩管/扎带,1 套,线束材料套件,待查,12V 功放轨与 5V 主轨峰值电流下压降需实测; 模拟信号(ADC FWD/REV)建议屏蔽线,interconnect,线径/颜色约定/压接方式待 harness/ 补充,1 套,hardware/interconnect/README.md §3; docs/04 §3
-,屏蔽线(可选),屏蔽双绞/同轴,可选,屏蔽线,待查,用于 SWR 检波模拟信号与 Si5351 I2C 长距离走线,interconnect,可选,可选,hardware/interconnect/README.md §3; docs/04 §3
-,外壳(3D 打印件),3D 打印 上下壳+模块支架+LCD压框+电池仓,1 套,3D 打印件 (STL/STEP/3MF),待查,内部容纳 130x95mm 底板 + 55x65mm ATU + 2S 500mAh 电池; 成本目标约 5 元/套,enclosure,模型文件尚未建模(3d-print/ 目录为空),1 套,hardware/enclosure/README.md §3; docs/04 §3
-,通用塑料盒(备选),成品盒改制,0-1,通用塑料盒,待查,按底板尺寸选型并手工开孔; 与 3D 打印件二选一,enclosure,替代方案,0-1,hardware/enclosure/README.md §3; docs/04 §3
-,M3 铜柱与螺钉,M3,1 套,M3 铜柱 + 螺钉套件,待查,模块与底板固定; 含自攻螺钉,enclosure,长度待结构设计确定,1 套,hardware/enclosure/README.md §3; docs/04 §3
-,面板件,亚克力或 PCB 材质,1,亚克力/PCB 面板,待查,"开孔: LCD 12864 视窗, EC11 旋钮孔, 按键孔, SMA 座孔, 天线座孔, 蜂鸣器出声孔",enclosure,面板开孔图纸(DXF/PDF)待出(panel/ 目录为空),1,hardware/enclosure/README.md §3; docs/04 §3
-,散热片/通风栅格(可选),成品/打印件,0-1,TO-92 散热片 + 通风栅格,待查,BS170 区域通风; 功放 2.5W 连续30分钟不超温; 壳温判据 <85C,enclosure,"散热片为 PA 模块必需(见 pa-module BOM), 此行指壳体风道",0-1,hardware/enclosure/README.md §3; docs/04 §3
-,垂直导线,多股软铜线/镀锡铜线,5 m,多股软铜线 5m,待查,推荐 5m(最小4m/最大8m); 3.5-3.6MHz; 垂直极化; 远离树干与金属物,antenna,"无匹配网络时效率极低, 必须配合 ATU",5 m,hardware/antenna/README.md §3; docs/04 §3
-,地线,多股软铜线,5 m,地线 3 段 x 2m,待查,"至少 5m, 推荐 3 段 x 2m 辐射状铺设",antenna,,3 x 2 m,hardware/antenna/README.md §3; docs/04 §3
-,地钉,金属地钉,3,地钉,待查,固定辐射状地线,antenna,,3,hardware/antenna/README.md §3; docs/04 §3
-,悬挂件,绝缘绳/抛绳器/绝缘支撑杆,1 套,绝缘绳 + 抛绳器/弹弓 + 绝缘支撑杆,待查,垂直悬挂; 现场架设与收放,antenna,,1 套,hardware/antenna/README.md §3; docs/04 §3
-,馈线,同轴馈线,1,同轴馈线 (对接 ATU 输出),待查,SMA 座与同轴馈线; 弯曲半径满足要求,antenna,与 interconnect 的 SMA 跳线区分,1,hardware/antenna/README.md §3; docs/04 §3
-,测量仪器(非 BOM),手持矢量网络分析仪,1,NanoVNA-F 或同类,待查,用于实测 3.5MHz 阻抗 R+jX 与匹配轨迹; 属于工具而非装机物料,antenna,"非装机件, 单独列出以便采购判断",1,hardware/antenna/README.md §3; docs/04 §3
